epoch,train_loss,train_accuracy,val_accuracy
1,0.11515213074108033,95.85533142089844,86.9659423828125
2,0.056382458208190656,98.06976318359375,88.5498046875
3,0.035365726702139,98.77548217773438,87.7349853515625
4,0.02522873537972714,99.12490844726562,86.4501953125
5,0.01918712777909093,99.33013916015625,83.905029296875
6,0.016869169046245247,99.4110107421875,85.272216796875
7,0.014338039752509246,99.50408935546875,89.1357421875
8,0.01321977699677035,99.54299926757812,87.17041015625
9,0.01185857172364102,99.58724975585938,85.7696533203125
10,0.010784578918993759,99.61509704589844,85.4522705078125
11,0.009679655779411434,99.67727661132812,86.2823486328125
12,0.009259437107521862,99.67498779296875,87.115478515625
13,0.008470956836346133,99.70855712890625,86.3677978515625
14,0.008072610141077519,99.71961975097656,87.615966796875
15,0.007787117467462856,99.72686767578125,87.567138671875
16,0.0074568975271089855,99.73793029785156,86.6668701171875
17,0.006871884114886484,99.76615905761719,87.0574951171875
18,0.006524973702523251,99.77569580078125,86.8927001953125
19,0.0065755337977648765,99.77302551269531,87.0452880859375
20,0.006382799512625326,99.78485107421875,86.6058349609375
